Name;Value
"FileType";"com.groupdocs.metadata.core.FileTypePackage@197746cd"
"Email";"com.groupdocs.metadata.core.EmlPackage@20c9c7ab"
"FileFormat";"33"
"MimeType";"message/rfc822"
"Extension";".eml"
"Headers";"com.groupdocs.metadata.core.EmailHeaderPackage@2de4a8c9"
"Sender";"sergey.a.voloshin@gmail.com"
"Subject";"test subject"
"AttachedFileNames";"[icon1.png, icon.jpg]"
"Recipients";"[anna.s.skachkova@gmail.com]"
"CC";"[sergey.a.voloshin@gmail.com]"
"BCC";""
"Date";"Wed, 20 Sep 2017 12:13:01 +0700"
"From";"sergey.a.voloshin <sergey.a.voloshin@gmail.com>"
"Message-ID";"<1723534732.20170920121301@gmail.com>"
"To";"anna.s.skachkova@gmail.com"
"CC";"sergey.a.voloshin@gmail.com"
"Subject";"test subject"
"MIME-Version";"1.0"
"Content-Type";"multipart/mixed; boundary=""----------04A0180CD0259E828"""

